movie_id,movie_key,movie_folder,primary_video_path,primary_video_original_name,primary_video_canonical_name,primary_video_confidence,video_candidate_count,auxiliary_video_count,multiple_full_movie_candidates,external_subtitle_count,english_external_subtitle_count,embedded_subtitle_count,has_english_subtitle,image_asset_count,release_metadata_count,archive_count,unknown_file_count,rename_required,rename_status,cleanup_candidate_count,cleanup_status,manual_review_required,manual_review_reasons
tt12618926,tt12618926_Parallelmothers,tt12618926_Parallelmothers,tt12618926_Parallelmothers/Madres.paralelas.AKA.Parallel.Mothers.2021.1080p.BluRay.DD+5.1.x265.10bit-NewHD.mkv,Madres.paralelas.AKA.Parallel.Mothers.2021.1080p.BluRay.DD+5.1.x265.10bit-NewHD.mkv,tt12618926_Parallelmothers.mkv,high,1,0,False,0,0,11,True,0,0,0,0,True,PLANNED,0,NONE,False,
tt1262426,tt1262426_Wicked,tt1262426_Wicked,tt1262426_Wicked/魔法坏女巫.Wicked.2024.1080p.BluRay.CHS&ENG-HAN.CHAOSPACE.mp4,魔法坏女巫.Wicked.2024.1080p.BluRay.CHS&ENG-HAN.CHAOSPACE.mp4,tt1262426_Wicked.mp4,high,1,0,False,0,0,0,False,0,0,0,0,True,PLANNED,0,NONE,False,
tt1263670,tt1263670_CrazyHeart,tt1263670_CrazyHeart,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt12789558,tt12789558_Belfast,tt12789558_Belfast,tt12789558_Belfast/Belfast.2021.2160p.WEB-DL.x265.10bit.SDR.DDP5.1.Atmos-NOGRP.mkv,Belfast.2021.2160p.WEB-DL.x265.10bit.SDR.DDP5.1.Atmos-NOGRP.mkv,tt12789558_Belfast.mkv,high,1,0,False,0,0,3,True,0,0,0,1,True,PLANNED,0,NONE,False,
tt1285016,tt1285016_TheSocialNetwork,tt1285016_TheSocialNetwork,,,,none,0,0,False,2,0,0,False,0,2,0,0,False,NOT_REQUIRED,2,PLANNED,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1291584,tt1291584_Warrior,tt1291584_Warrior,,,,none,0,0,False,1,0,0,False,8,2,0,0,False,NOT_REQUIRED,10,PLANNED,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1312221,tt1312221_Frankenstein,tt1312221_Frankenstein,tt1312221_Frankenstein/Frankenstein.2025.1080p.NF.WEB-DL.H.264.DDP5.1.Atmos.mkv,Frankenstein.2025.1080p.NF.WEB-DL.H.264.DDP5.1.Atmos.mkv,tt1312221_Frankenstein.mkv,high,1,0,False,1,1,38,True,0,0,0,0,True,PLANNED,0,NONE,False,
tt1313092,tt1313092_AnimalKingdom,tt1313092_AnimalKingdom,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt13143964,tt13143964_BoratSubsequentMoviefilm,tt13143964_BoratSubsequentMoviefilm,tt13143964_BoratSubsequentMoviefilm/borat.subsequent.moviefilm.1080p.mp4,borat.subsequent.moviefilm.1080p.mp4,tt13143964_BoratSubsequentMoviefilm.mp4,high,1,0,False,0,0,0,False,0,0,0,0,True,PLANNED,0,NONE,False,
tt1315981,tt1315981_ASingleMan,tt1315981_ASingleMan,,,,none,0,0,False,0,0,0,False,0,0,0,1,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1322269,tt1322269_AugustOsageCounty,tt1322269_AugustOsageCounty,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1340800,tt1340800_TinkerTailorSoldierSpy,tt1340800_TinkerTailorSoldierSpy,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt13833688,tt13833688_TheWhale,tt13833688_TheWhale,tt13833688_TheWhale/The.Whale.2022.2160p.iT.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,The.Whale.2022.2160p.iT.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,tt13833688_TheWhale.mkv,high,1,0,False,1,0,2,True,0,0,0,0,True,PLANNED,0,NONE,False,
tt1399683,tt1399683_WintersBone,tt1399683_WintersBone,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
