movie_key,source_relpath,action,category,destination_relpath,status,reason
tt23561236_AmericanFiction,tt23561236_AmericanFiction/【电影】美国小说.中英双字.1080P.mp4,RENAME,PRIMARY_VIDEO,tt23561236_AmericanFiction/tt23561236_AmericanFiction.mp4,PLANNED,canonical primary filename
tt2584384_JojoRabbit,tt2584384_JojoRabbit/2019.1080p.BluRay.x264-中英双字.mp4,RENAME,PRIMARY_VIDEO,tt2584384_JojoRabbit/tt2584384_JojoRabbit.mp4,PLANNED,canonical primary filename
tt26581740_Weapons,tt26581740_Weapons/150538_凶器 Weapons.2025.1080p.官方中英字幕.404.mp4,RENAME,PRIMARY_VIDEO,tt26581740_Weapons/tt26581740_Weapons.mp4,PLANNED,canonical primary filename
tt27714581_SentimentalValue,tt27714581_SentimentalValue/Sentimental.Value.2025.MULTi.1080p.WEB-DL.H264.DDP5.1.Atmos-HamiltonShare.mkv,RENAME,PRIMARY_VIDEO,tt27714581_SentimentalValue/tt27714581_SentimentalValue.mkv,PLANNED,canonical primary filename
tt27847051_TheSecretAgent,tt27847051_TheSecretAgent/The.Secret.Agent.2025.2160p.AMZN.WEB-DL.DDP5.1.H.265.mkv,RENAME,PRIMARY_VIDEO,tt27847051_TheSecretAgent/tt27847051_TheSecretAgent.mkv,PLANNED,canonical primary filename
tt27847051_TheSecretAgent,tt27847051_TheSecretAgent/The Secret Agent (O Agente Secreto) 2025 - Director & Writer_Kleber Mendonça Filho.srt-en.srt,RENAME,ENGLISH_SUBTITLE,tt27847051_TheSecretAgent/tt27847051_TheSecretAgent.en.srt,PLANNED,canonical English subtitle filename
tt28479262_SingSing,tt28479262_SingSing/监狱剧院.Sing.Sing.人工中英字幕2023.1080p.MS.WEBDL.mp4,RENAME,PRIMARY_VIDEO,tt28479262_SingSing/tt28479262_SingSing.mp4,PLANNED,canonical primary filename
tt28607951_Anora,tt28607951_Anora/2024.2160p.AMZN.WEB-DL.H265.HDR10+.DDP5.1.mkv,RENAME,PRIMARY_VIDEO,tt28607951_Anora/tt28607951_Anora.mkv,PLANNED,canonical primary filename
tt28607951_TheApprentice,tt28607951_TheApprentice/2026.2160p.WEB-DL.H.265.HDR.60fps.DDP2.0.mp4,RENAME,PRIMARY_VIDEO,tt28607951_TheApprentice/tt28607951_TheApprentice.mp4,PLANNED,canonical primary filename
tt30343021_SongSungBlue,tt30343021_SongSungBlue/Song.Sung.Blue.2025.HDR.2160p.WEB-DL.H.265.Atmos-HamiltonShare.mkv,RENAME,PRIMARY_VIDEO,tt30343021_SongSungBlue/tt30343021_SongSungBlue.mkv,PLANNED,canonical primary filename
